Edge,Time_bin,Avg_speed,Avg_speed_CI,Max_speed,Min_speed,Travel_time,Travel_time_CI,Flow,Boxplot_speed,Boxplot_time,Count
"(10946845801, 10946845802, 0)",3,17.0,"(-8.41, 42.41)",19.0,15.0,,,{},"{'points': [15, 19]}",{'points': []},2
"(10946845801, 65298398, 0)",-1,,,,,,,{},{'points': []},{'points': []},0
"(10946845801, 65298398, 0)",1,6.0,"(0.6, 12.07)",9.0,5.0,,,{},"{'points': [9, 5, 5]}",{'points': []},3
"(10946845801, 65298398, 0)",0,12.0,"(-20.27, 43.27)",14.0,9.0,,,{},"{'points': [14, 9]}",{'points': []},2
"(10946845801, 65298398, 0)",2,7.0,"(-0.5, 13.84)",17.0,0.0,0.2667,,{'-': 1},"{'whislo': 0, 'q1': 0.75, 'med': 6.0, 'q3': 10.5, 'whishi': 17, 'fliers': []}",{'points': [0.2667]},6
"(10946845802, 65324852, 0)",3,14.0,"(-0.98, 28.98)",20.0,0.0,,,{},"{'whislo': 0, 'q1': 12.75, 'med': 18.0, 'q3': 19.25, 'whishi': 20, 'fliers': [0]}",{'points': []},4
"(10946845905, 10946845801, 0)",3,11.0,,11.0,11.0,,,{},{'points': [11]},{'points': []},1
"(65298398, 10946845801, 0)",-1,,,,,,,{},{'points': []},{'points': []},0
"(65298398, 10946845801, 0)",1,9.0,"(6.74, 11.6)",17.0,4.0,0.33335,"(-0.09, 0.76)","{'+': 1, '-': 1}","{'whislo': 5, 'q1': 8.5, 'med': 10.0, 'q3': 10.75, 'whishi': 11, 'fliers': [5]}","{'points': [0.3, 0.3667]}",6
"(65298398, 10946845801, 0)",0,11.0,"(2.39, 19.61)",15.0,9.0,,,{},"{'points': [15, 9, 9]}",{'points': []},3
"(65298398, 10946845801, 0)",2,5.0,"(1.79, 8.52)",19.0,0.0,0.3972166666666667,"(0.17, 0.63)","{'p': 5, '+': 1}","{'whislo': 0, 'q1': 0.0, 'med': 2.0, 'q3': 9.0, 'whishi': 16, 'fliers': []}","{'whislo': 0.0833, 'q1': 0.3333, 'med': 0.34165, 'q3': 0.512525, 'whishi': 0.7167, 'fliers': []}",13
"(65298398, 65319894, 0)",3,14.0,,14.0,14.0,,,{},{'points': [14]},{'points': []},1
"(65299793, 65317386, 0)",3,12.0,"(6.15, 18.85)",13.0,12.0,,,{},"{'points': [12, 13]}",{'points': []},2
"(65317383, 65317386, 0)",3,18.0,,18.0,18.0,,,{},{'points': [18]},{'points': []},1
"(65317386, 65317383, 0)",3,9.0,,9.0,9.0,,,{},{'points': [9]},{'points': []},1
"(65317386, 65336534, 0)",3,12.0,"(-1.33, 24.33)",18.0,0.0,0.0333,,{'-': 1},"{'whislo': 0, 'q1': 9.0, 'med': 14.0, 'q3': 16.5, 'whishi': 18, 'fliers': []}",{'points': [0.0333]},4
"(65317391, 10946845802, 0)",3,16.0,,16.0,16.0,,,{},{'points': [16]},{'points': []},1
"(65319894, 65298398, 0)",3,14.0,"(3.93, 23.67)",20.0,0.0,,,{},"{'whislo': 0, 'q1': 15.0, 'med': 16.0, 'q3': 18.0, 'whishi': 20, 'fliers': [0]}",{'points': []},5
"(65319894, 65324849, 0)",-1,,,,,,,{},{'points': []},{'points': []},0
"(65319894, 65324849, 0)",1,0.0,,0.0,0.0,,,{},{'points': [0]},{'points': []},1
"(65319894, 65324849, 0)",0,4.0,,4.0,4.0,,,{},{'points': [4]},{'points': []},1
"(65319894, 65324849, 0)",2,4.0,"(1.9, 5.35)",8.0,0.0,1.31665,"(-2.71, 5.34)",{'+': 2},"{'whislo': 0, 'q1': 2.0, 'med': 4.5, 'q3': 5.0, 'whishi': 6, 'fliers': []}","{'points': [1.0, 1.6333]}",8
"(65324849, 65319894, 0)",-1,,,,,,,{},{'points': []},{'points': []},0
"(65324849, 65319894, 0)",1,1.0,"(-0.07, 2.57)",9.0,0.0,1.0666666666666669,"(0.78, 1.35)","{'-': 2, '+': 1}","{'whislo': 0, 'q1': 0.0, 'med': 0.5, 'q3': 2.25, 'whishi': 4, 'fliers': []}","{'points': [1.2, 1.0, 1.0]}",8
"(65324849, 65319894, 0)",0,4.0,"(-5.29, 12.79)",12.0,0.0,,,{},"{'whislo': 0, 'q1': 0.0, 'med': 1.5, 'q3': 5.25, 'whishi': 12, 'fliers': []}",{'points': []},4
"(65324849, 65319894, 0)",2,3.0,"(1.12, 5.38)",15.0,0.0,0.4966799999999999,"(-0.16, 1.16)","{'-': 3, 'p': 1, '+': 1}","{'whislo': 0, 'q1': 0.0, 'med': 1.0, 'q3': 5.25, 'whishi': 12, 'fliers': []}","{'whislo': 0.0833, 'q1': 0.2167, 'med': 0.3, 'q3': 0.4667, 'whishi': 1.4167, 'fliers': [1.4167]}",16
"(65324849, 65336534, 0)",-1,,,,,,,{},{'points': []},{'points': []},0
