Edge,OSM_oneway,OSM_lanes,OSM_name,OSM_highway,OSM_maxspeed,OSM_length,Oneway,Count
"(65336534, 65317386, 0)",False,3,Mission Street,secondary,20 mph,80.94900000000001,,10.0
"(65324854, 65324856, 0)",False,2,18th Street,tertiary,,15.204,,1.0
"(65324858, 65318612, 0)",False,2,18th Street,tertiary,,104.685,True,4.0
"(65298398, 65319894, 0)",False,2,18th Street,tertiary,,60.397,,1.0
"(258968244, 65324856, 0)",False,2,18th Street,tertiary,,69.489,False,18.0
"(258967880, 65294235, 0)",False,2,18th Street,tertiary,,13.123,,1.0
"(65299793, 65317386, 0)",False,2,17th Street,tertiary,,80.11999999999999,,2.0
"(258967880, 65324858, 0)",False,2,18th Street,tertiary,,87.404,,5.0
"(65324858, 258967880, 0)",False,2,18th Street,tertiary,,87.404,False,17.0
"(65319894, 65324849, 0)",False,2,18th Street,tertiary,,65.837,True,10.0
"(258967880, 258967879, 0)",True,2,Dolores Street,secondary,25 mph,85.806,,1.0
"(10946845801, 65298398, 0)",False,2,18th Street,tertiary,,65.058,True,11.0
"(65336534, 65324849, 0)",False,3,Mission Street,secondary,20 mph,97.148,,8.0
"(10946845802, 65324852, 0)",False,2,18th Street,tertiary,,68.42099999999999,,4.0
"(65319894, 65298398, 0)",False,2,18th Street,tertiary,,60.397,,5.0
"(65317391, 10946845802, 0)",True,1,Valencia Street,tertiary,20 mph,178.834,,1.0
"(65324852, 10946845802, 0)",False,2,18th Street,tertiary,,68.42099999999999,True,21.0
"(65317386, 65317383, 0)",False,4,17th Street,tertiary,,90.446,,1.0
"(65317383, 65317386, 0)",False,4,17th Street,tertiary,,90.446,,1.0
"(65324852, 65324854, 0)",False,2,18th Street,tertiary,,32.022,,2.0
"(65324856, 258968244, 0)",False,2,18th Street,tertiary,,69.489,,7.0
"(65324849, 65336534, 0)",False,3,Mission Street,secondary,20 mph,97.148,False,24.0
"(10946845905, 10946845801, 0)",True,1,Valencia Street,tertiary,20 mph,178.23199999999997,,1.0
"(65298398, 10946845801, 0)",False,2,18th Street,tertiary,,65.058,False,22.0
"(65317386, 65336534, 0)",False,3,Mission Street,secondary,20 mph,80.94900000000001,True,4.0
"(10946845801, 10946845802, 0)",False,2,18th Street,tertiary,,8.147,,2.0
"(65318612, 65324858, 0)",False,2,18th Street,tertiary,,104.685,False,23.0
"(65324849, 65319894, 0)",False,2,18th Street,tertiary,,65.837,False,28.0
