Node,Time_bin,Avg_speed,Avg_speed_CI,Max_speed,Min_speed,Travel_time,Travel_time_CI,Flow,Boxplot_speed,Boxplot_time,Count
65298398,-1,,,,,,,{},{'points': []},{'points': []},0
65298398,1,14.0,"(6.74, 21.92)",17.0,11.0,,,{},"{'points': [11, 17, 15]}",{'points': []},3
65298398,0,,,,,,,{},{'points': []},{'points': []},0
65298398,2,12.0,"(3.74, 19.59)",20.0,0.0,0.2416499999999999,"(-0.92, 1.41)","{'(10946845801, 65298398, 0)': 1, '(65298398, 10946845801, 0)': 1}","{'whislo': 0, 'q1': 8.25, 'med': 11.5, 'q3': 17.75, 'whishi': 20, 'fliers': []}","{'points': [0.15, 0.3333]}",6
65317386,-1,,,,,,,{},{'points': []},{'points': []},0
65317386,1,12.0,"(5.58, 18.92)",18.0,8.0,,,{},"{'whislo': 8, 'q1': 10.25, 'med': 11.5, 'q3': 13.5, 'whishi': 18, 'fliers': []}",{'points': []},4
65317386,0,0.0,,0.0,0.0,,,{},{'points': [0]},{'points': []},1
65317386,2,9.0,"(4.71, 13.14)",19.0,0.0,,,{},"{'whislo': 0, 'q1': 1.0, 'med': 9.0, 'q3': 14.75, 'whishi': 19, 'fliers': []}",{'points': []},14
65319894,-1,,,,,,,{},{'points': []},{'points': []},0
65319894,1,6.0,"(-5.3, 16.8)",14.0,0.0,,,{},"{'whislo': 0, 'q1': 0.0, 'med': 4.5, 'q3': 10.25, 'whishi': 14, 'fliers': []}",{'points': []},4
65319894,0,5.0,"(-10.51, 20.51)",12.0,0.0,,,{},"{'points': [3, 12, 0]}",{'points': []},3
65319894,2,7.0,"(0.98, 13.02)",18.0,0.0,0.4444333333333333,"(-0.32, 1.21)","{'(65324849, 65319894, 0)': 2, '(65319894, 65324849, 0)': 1}","{'whislo': 0, 'q1': 2.0, 'med': 4.0, 'q3': 13.0, 'whishi': 15, 'fliers': []}","{'points': [0.7833, 0.3667, 0.1833]}",7
65324849,-1,,,,,,,{},{'points': []},{'points': []},0
65324849,1,1.0,"(0.51, 1.99)",5.0,0.0,0.7833166666666666,"(0.13, 1.44)","{'(65324849, 65319894, 0)': 4, '(65336534, 65324849, 0)': 1, '(65324849, 65336534, 0)': 1}","{'whislo': 0, 'q1': 0.75, 'med': 1.5, 'q3': 2.0, 'whishi': 2, 'fliers': []}","{'whislo': 0.2333, 'q1': 0.30832499999999996, 'med': 0.66665, 'q3': 1.0, 'whishi': 1.8333, 'fliers': []}",8
65324849,0,3.0,"(0.05, 6.75)",8.0,0.0,0.3,,"{'(65319894, 65324849, 0)': 1}","{'whislo': 0, 'q1': 1.0, 'med': 5.0, 'q3': 5.0, 'whishi': 6, 'fliers': []}",{'points': [0.3]},5
65324849,2,3.0,"(1.71, 4.2)",8.0,0.0,0.562823076923077,"(0.3, 0.83)","{'(65324849, 65336534, 0)': 5, '(65324849, 65319894, 0)': 6, '(65319894, 65324849, 0)': 1, '(65336534, 65324849, 0)': 1}","{'whislo': 0, 'q1': 0.0, 'med': 2.0, 'q3': 5.0, 'whishi': 8, 'fliers': []}","{'whislo': 0.0833, 'q1': 0.2167, 'med': 0.4333, 'q3': 1.0, 'whishi': 1.4167, 'fliers': []}",22
65324852,-1,,,,,,,{},{'points': []},{'points': []},0
65324852,1,17.0,,17.0,17.0,,,{},{'points': [17]},{'points': []},1
65324852,0,19.0,,19.0,19.0,,,{},{'points': [19]},{'points': []},1
65324852,2,17.0,"(14.24, 20.16)",20.0,14.0,,,{},"{'whislo': 14, 'q1': 16.0, 'med': 17.0, 'q3': 19.0, 'whishi': 20, 'fliers': []}",{'points': []},5
65324854,3,16.0,,16.0,16.0,,,{},{'points': [16]},{'points': []},1
65324856,-1,,,,,,,{},{'points': []},{'points': []},0
65324856,1,13.0,,13.0,13.0,,,{},{'points': [13]},{'points': []},1
65324856,0,,,,,,,{},{'points': []},{'points': []},0
65324856,2,15.0,"(8.14, 21.58)",22.0,0.0,0.13335,"(-0.71, 0.98)","{'(258968244, 65324856, 0)': 1, '(65324856, 258968244, 0)': 1}","{'whislo': 0, 'q1': 14.0, 'med': 15.0, 'q3': 19.5, 'whishi': 22, 'fliers': [0]}","{'points': [0.2, 0.0667]}",7
65336534,-1,,,,,,,{},{'points': []},{'points': []},0
