Edge,Time_bin,Avg_speed,Avg_speed_CI,Max_speed,Min_speed,Travel_time,Travel_time_CI,Flow,Boxplot,Count
"(1000699966, 65296346, 0)",3,8.0,,8.0,8.0,,,{},{'points': [8]},1
"(10155002500, 65292537, 0)",3,12.0,"(7.16, 17.5)",14.0,10.0,,,{},"{'points': [13, 14, 10]}",3
"(10155002500, 65323900, 0)",-1,,,,,,,{},{'points': []},0
"(10155002500, 65323900, 0)",1,,,,,,,{},{'points': []},0
"(10155002500, 65323900, 0)",0,12.0,"(4.68, 19.61)",20.0,2.0,,,{},"{'min': 2, 'Q1': 4.5, 'median': 16.0, 'Q3': 19.0, 'max': 20, 'outliers': []}",7
"(10155002500, 65323900, 0)",2,11.0,"(6.62, 15.51)",24.0,0.0,0.45,"(-3.78, 4.68)","{'p': 1, '+': 1}","{'min': 0, 'Q1': 4.5, 'median': 9.0, 'Q3': 18.0, 'max': 24, 'outliers': []}",15
"(10251824554, 65291006, 0)",-1,12.0,,12.0,12.0,,,{},{'points': [12]},1
"(10251824554, 65291006, 0)",1,9.0,,9.0,9.0,,,{},{'points': [9]},1
"(10251824554, 65291006, 0)",0,18.0,"(-14.27, 49.27)",20.0,15.0,,,{},"{'points': [15, 20]}",2
"(10251824554, 65291006, 0)",2,15.0,"(9.08, 21.58)",18.0,13.0,0.4667,,{'p': 1},"{'points': [18, 13, 15]}",3
"(10251824554, 65300049, 0)",-1,,,,,,,{},{'points': []},0
"(10251824554, 65300049, 0)",1,0.0,,0.0,0.0,0.1833,,{'p': 1},{'points': [0]},1
"(10251824554, 65300049, 0)",0,4.0,,13.0,0.0,1.3667,,{'+': 1},{'points': [4]},1
"(10251824554, 65300049, 0)",2,4.0,"(-2.2, 11.2)",16.0,0.0,0.15,"(-0.7, 1.0)",{'+': 2},"{'min': 0, 'Q1': 0.25, 'median': 1.5, 'Q3': 6.5, 'max': 16, 'outliers': [16]}",6
"(10946845801, 10946845802, 0)",3,17.0,"(-8.41, 42.41)",19.0,15.0,,,{},"{'points': [15, 19]}",2
"(10946845801, 65298398, 0)",-1,,,,,,,{},{'points': []},0
"(10946845801, 65298398, 0)",1,6.0,"(0.6, 12.07)",9.0,5.0,,,{},"{'points': [9, 5, 5]}",3
"(10946845801, 65298398, 0)",0,12.0,"(-20.27, 43.27)",14.0,9.0,,,{},"{'points': [14, 9]}",2
"(10946845801, 65298398, 0)",2,7.0,"(-0.5, 13.84)",17.0,0.0,0.2667,,{'-': 1},"{'min': 0, 'Q1': 0.75, 'median': 6.0, 'Q3': 10.5, 'max': 17, 'outliers': []}",6
"(10946845802, 65324852, 0)",3,14.0,"(-0.98, 28.98)",20.0,0.0,,,{},"{'min': 0, 'Q1': 12.75, 'median': 18.0, 'Q3': 19.25, 'max': 20, 'outliers': [0]}",4
"(10946845905, 10946845801, 0)",3,11.0,,11.0,11.0,,,{},{'points': [11]},1
"(1126947954, 2481630307, 0)",3,15.0,,15.0,15.0,,,{},{'points': [15]},1
"(11397069575, 65312117, 0)",3,8.0,"(-23.27, 40.27)",12.0,0.0,0.9333,,{'+': 1},"{'points': [6, 11]}",2
"(1148372849, 4104677530, 0)",-1,,,,,,,{},{'points': []},0
"(1148372849, 4104677530, 0)",1,0.0,"(0.0, 0.0)",0.0,0.0,0.4667,,{'p': 1},"{'points': [0, 0]}",2
"(1148372849, 4104677530, 0)",0,1.0,"(-3.3, 5.3)",3.0,0.0,,,{},"{'points': [3, 0, 0]}",3
"(1148372849, 4104677530, 0)",2,2.0,"(0.99, 3.01)",5.0,0.0,1.13335,"(-0.94, 3.2)","{'+': 2, 'p': 1, '-': 1}","{'min': 0, 'Q1': 0.75, 'median': 2.0, 'Q3': 3.0, 'max': 5, 'outliers': []}",12
"(1271001343, 1271001348, 0)",3,13.0,"(9.54, 17.13)",15.0,12.0,,,{},"{'points': [12, 15, 13]}",3
"(1271001343, 6988532615, 0)",-1,14.0,,14.0,14.0,,,{},{'points': [14]},1
"(1271001343, 6988532615, 0)",1,,,,,,,{},{'points': []},0
