Edge,OSM_oneway,OSM_lanes,OSM_name,OSM_highway,OSM_maxspeed,OSM_length,Oneway,Count
"(65296334, 65362651, 0)",False,2,22nd Street,residential,,197.258,,3.0
"(259138855, 65297832, 0)",True,2,Divisadero Street,secondary,20 mph,51.903000000000006,False,23.0
"(65333397, 65296374, 0)",False,,Day Street,residential,,270.094,,4.0
"(65287243, 65339290, 0)",True,2,Divisadero Street,secondary,20 mph,105.168,True,31.0
"(65336961, 65307376, 0)",False,3,Stockton Street,tertiary,,99.111,False,52.0
"(65318100, 65348379, 0)",False,,30th Street,residential,,62.761,True,15.0
"(65295496, 65295497, 0)",False,2,California Street,tertiary,25 mph,94.435,False,51.0
"(4022941218, 65287360, 0)",False,4,Fulton Street,secondary,35 mph,94.452,,13.0
"(4017324918, 65295385, 0)",False,4,California Street,secondary,,117.672,False,89.0
"(65344399, 65296337, 0)",False,2,Alvarado Street,residential,,197.374,,1.0
"(65336534, 65317386, 0)",False,3,Mission Street,secondary,20 mph,80.94900000000001,,10.0
"(6378899554, 4019577207, 0)",True,,Columbus Avenue,secondary,25 mph,15.194,True,5.0
"(65312279, 65312281, 0)",False,,Sanchez Street,residential,,89.21300000000001,,1.0
"(65295367, 65352468, 0)",False,,Pierce Street,residential,,107.526,,1.0
"(65287287, 65287285, 0)",False,4,Fulton Street,secondary,35 mph,155.123,False,52.0
"(65328209, 65319004, 0)",False,,McAllister Street,residential,,279.72399999999993,False,50.0
"(65290949, 65290947, 0)",False,,Mariposa Street,residential,,88.04100000000001,,1.0
"(4941850449, 4941850444, 0)",True,,,tertiary_link,,31.201,,1.0
"(65293687, 1692478722, 0)",False,,19th Street,residential,,95.428,,1.0
"(65297087, 4022941216, 0)",False,,24th Avenue,residential,,208.096,,1.0
"(259138402, 259138401, 0)",True,2,Industrial Street,tertiary,30 mph,59.583,,7.0
"(65301539, 259138852, 0)",False,,O'Farrell Street,residential,,144.088,,3.0
"(65295434, 65347067, 0)",False,,4th Avenue,residential,,39.895,,1.0
"(65307164, 65295499, 0)",False,,32nd Avenue,tertiary,,70.35600000000001,True,49.0
"(4022947859, 4022947860, 0)",False,4,Fulton Street,secondary,35 mph,94.477,,8.0
"(65306684, 65336422, 0)",False,,Noe Street,residential,,90.161,True,11.0
"(65314572, 65375419, 0)",False,2,Cabrillo Street,residential,25 mph,94.234,,19.0
"(65337001, 9691602674, 0)",True,2,Clay Street,residential,,10.605,,6.0
"(65287700, 65295422, 0)",False,4,California Street,secondary,,94.836,True,31.0
"(4022941228, 4022941217, 0)",False,4,Fulton Street,secondary,35 mph,94.222,,11.0
"(65287678, 4022924671, 0)",False,,5th Avenue,residential,,183.412,,1.0
"(65304997, 65324869, 0)",False,2,18th Street,tertiary,,59.854,,2.0
"(65310823, 65339258, 0)",True,2,Divisadero Street,secondary,20 mph,105.136,False,29.0
"(261510697, 261510687, 0)",True,2,Potrero Avenue,secondary,25 mph,74.7,True,15.0
"(260191102, 3978797440, 0)",True,2,San Jose Avenue,primary,30 mph,191.704,,5.0
"(65287261, 65356407, 0)",True,2,Masonic Avenue,secondary,25 mph,104.755,,2.0
"(65312709, 65312708, 0)",False,,Union Street,residential,,146.353,False,34.0
"(65287332, 65287336, 0)",False,4,Fulton Street,secondary,35 mph,41.405,True,7.0
"(65312056, 65292875, 0)",False,2,Cortland Avenue,tertiary,25 mph,34.572,True,22.0
"(65304088, 65296351, 0)",False,,Clipper Street,tertiary,25 mph,194.63100000000003,,4.0
"(65295493, 65289275, 0)",False,,29th Avenue,residential,,156.55,,1.0
"(65362744, 65337066, 0)",False,,Ashbury Street,tertiary,,114.113,True,14.0
"(65312712, 65312716, 0)",False,,Union Street,residential,,148.391,False,26.0
"(65289340, 65295452, 0)",False,,14th Avenue,residential,,207.335,,2.0
"(65322282, 265666762, 0)",False,2,24th Street,tertiary,20 mph,80.33699999999999,True,14.0
"(65296327, 260494513, 0)",False,"['3', '2']",Castro Street,tertiary,20 mph,194.19,False,48.0
"(65287285, 65287280, 0)",False,4,Fulton Street,secondary,35 mph,138.241,False,81.0
"(65336976, 65336974, 0)",True,1,Clay Street,residential,,146.18800000000002,False,52.0
"(65287298, 65287290, 0)",False,4,Fulton Street,secondary,35 mph,185.339,False,113.0
"(2265957510, 65318046, 0)",True,1,Church Street,residential,,88.675,,1.0
"(65345337, 65317590, 0)",False,4,16th Street,secondary,,95.178,,6.0
"(65307440, 65307443, 0)",False,,Sacramento Street,residential,,146.362,False,50.0
"(65312687, 65312685, 0)",False,2,Union Street,tertiary,,146.775,True,11.0
"(1271001343, 1271001348, 0)",True,3,Post Street,tertiary,,137.759,,3.0
"(65299968, 65299984, 0)",True,2,3rd Street,primary,30 mph,285.5719999999999,,1.0
"(65303578, 65303581, 0)",False,,Sutter Street,residential,,144.52599999999998,,6.0
"(65295399, 4023087068, 0)",False,,Spruce Street,residential,,49.484,,2.0
"(65349674, 65319886, 0)",False,2,Balboa Street,tertiary,,98.968,,1.0
"(65287261, 6910272811, 0)",False,4,Fulton Street,secondary,,7.371,,2.0
"(599157361, 65296331, 0)",False,,"['21st Street', 'Collingwood Street']",residential,,128.405,,2.0
"(65295436, 5647545821, 0)",False,4,California Street,secondary,,55.874,True,35.0
"(65312690, 65312693, 0)",False,"['3', '2']",Union Street,tertiary,,135.411,False,36.0
"(5647545821, 65295438, 0)",False,4,California Street,secondary,,39.022000000000006,True,6.0
"(65336987, 65307404, 0)",False,,Leavenworth Street,residential,,99.211,,2.0
"(65301587, 65312718, 0)",False,,Union Street,residential,,146.47199999999998,False,26.0
"(65328710, 65328712, 0)",True,"['1', '2']",Grant Avenue,residential,,99.272,,1.0
"(65334193, 1677788981, 0)",False,4,16th Street,secondary,,102.792,True,15.0
"(4022941214, 4022941206, 0)",False,4,Fulton Street,secondary,35 mph,94.451,True,7.0
"(65324902, 65313184, 0)",False,2,18th Street,residential,25 mph,85.091,,1.0
"(65319050, 65312700, 0)",False,,Laguna Street,residential,,104.974,,1.0
"(65359482, 65287349, 0)",False,,20th Avenue,residential,,208.105,,1.0
"(4022941221, 1736656377, 0)",False,2,36th Avenue,tertiary,,181.879,,1.0
"(65314166, 65314163, 0)",True,3,Post Street,tertiary,20 mph,146.628,,1.0
"(65336422, 65296372, 0)",False,,Valley Street,residential,,195.779,,1.0
"(65303586, 65303589, 0)",False,,Sutter Street,residential,,125.695,True,4.0
"(295218056, 65294381, 0)",False,,30th Street,residential,,13.913,,1.0
"(65295405, 65315442, 0)",False,,Commonwealth Avenue,residential,,237.41000000000005,,1.0
"(65348291, 265689222, 0)",False,,Steiner Street,residential,,104.743,,1.0
"(65301525, 2819241004, 0)",False,,McAllister Street,residential,,144.19799999999998,False,46.0
"(6949087641, 297254899, 0)",True,3,Stanyan Street,secondary,,39.909,True,6.0
"(4021327371, 4021327387, 0)",False,4,Fulton Street,secondary,35 mph,94.327,True,12.0
"(65365168, 65310809, 0)",False,,Fillmore Street,residential,,104.665,,1.0
"(65312210, 65307883, 0)",False,,Sanchez Street,residential,,76.249,,2.0
"(65287402, 3997925114, 0)",False,3,Chain of Lakes Drive East,tertiary,,18.372,,1.0
"(65351774, 65317542, 0)",True,4,4th Street,secondary,,63.661,False,13.0
"(65352351, 65336583, 0)",False,,McAllister Street,residential,,146.45100000000002,False,70.0
"(65363220, 65341395, 0)",False,4,Mission Street,secondary,20 mph,13.925,,7.0
"(65296309, 65314393, 0)",False,,Duboce Avenue,residential,,70.215,,1.0
"(65295403, 65295401, 0)",False,4,California Street,secondary,,24.514,,7.0
"(65295435, 65287662, 0)",False,4,California Street,secondary,,94.592,,17.0
"(4022924674, 65287714, 0)",False,,3rd Avenue,residential,,163.946,,3.0
"(65306804, 6873099368, 0)",True,"['3', '2']",Howard Street,secondary,25 mph,191.009,,1.0
"(65295450, 258756003, 0)",False,2,California Street,secondary,,12.42,,1.0
"(65287711, 65324623, 0)",False,3,Balboa Street,tertiary,20 mph,94.265,,7.0
"(763026749, 1723738829, 0)",True,2,Golden Gate Avenue,secondary,20 mph,66.881,True,5.0
"(65336974, 65335358, 0)",True,1,Clay Street,residential,,63.784,True,32.0
"(65296346, 65296343, 0)",False,2,Castro Street,tertiary,,88.25200000000001,False,25.0
"(65287662, 65287660, 0)",False,,5th Avenue,residential,,177.171,,1.0
"(65287273, 65287265, 0)",False,4,Fulton Street,secondary,35 mph,66.675,,8.0
"(65327408, 65336941, 0)",True,"['3', '2']",Clay Street,tertiary,,103.907,False,29.0
"(65362638, 65296316, 0)",False,,Beaver Street,residential,,196.938,,1.0
"(65287254, 65287260, 0)",False,3,Fulton Street,tertiary,,146.799,True,11.0
"(65302394, 65307069, 0)",False,2,Cortland Avenue,tertiary,25 mph,71.751,,20.0
"(65308770, 65308767, 0)",False,5,Potrero Avenue,secondary,25 mph,144.299,False,24.0
"(1723564001, 581047133, 0)",True,2,Market Street,primary,10 mph,94.287,True,1.0
"(65336974, 65307397, 0)",False,,Taylor Street,unclassified,,99.357,,2.0
"(65352257, 1148372880, 0)",True,3,Masonic Avenue,secondary,30 mph,29.289,,2.0
"(6906996472, 65319908, 1)",True,,Bush Street,busway,30 mph,51.038,,2.0
"(65321333, 4178749997, 0)",False,4,Clayton Street,secondary,,55.75500000000001,,2.0
"(65325391, 65339271, 0)",True,2,Divisadero Street,secondary,20 mph,104.986,False,39.0
"(65336961, 65371298, 0)",False,"['4', '3']",Stockton Street,tertiary,,99.314,False,31.0
"(65363153, 65334510, 0)",False,4,Mission Street,tertiary,,108.685,True,5.0
"(65336479, 65307356, 0)",True,3,Battery Street,secondary,25 mph,96.147,True,17.0
"(65307463, 65336924, 0)",False,2,Presidio Avenue,tertiary,,98.976,,4.0
"(65287336, 65287332, 0)",False,4,Fulton Street,secondary,35 mph,41.405,False,30.0
"(65296372, 65336422, 0)",False,,Valley Street,residential,,195.779,,1.0
"(65356300, 65295474, 0)",False,,20th Avenue,residential,,208.082,,1.0
"(65308740, 1472411079, 0)",True,4,Potrero Avenue,secondary,25 mph,31.903,True,8.0
"(65312050, 65328021, 0)",False,,Nevada Street,tertiary,,175.109,,1.0
"(65312716, 65312712, 0)",False,,Union Street,residential,,148.39100000000002,True,16.0
"(65337437, 65328354, 0)",False,,Jackson Street,residential,,146.43800000000002,False,54.0
"(65310196, 65340079, 0)",False,,16th Street,secondary,,85.576,,1.0
"(65349683, 65349691, 0)",False,2,Balboa Street,tertiary,20 mph,94.322,True,1.0
"(65352349, 601280963, 0)",False,,McAllister Street,residential,,76.628,True,20.0
"(65308770, 65290949, 0)",False,5,Potrero Avenue,secondary,25 mph,141.633,,3.0
"(65303529, 65303533, 0)",True,2,Sutter Street,tertiary,,146.94,,2.0
"(65352255, 65337447, 0)",False,2,Presidio Avenue,tertiary,,98.774,,5.0
"(65351772, 65300097, 0)",True,2,Mission Street,secondary,,279.087,,4.0
"(2768893484, 65295458, 0)",False,2,California Street,tertiary,25 mph,94.161,False,18.0
"(2642129716, 65337038, 0)",False,2,Clayton Street,tertiary,,213.277,True,21.0
"(65337437, 65365236, 0)",False,2,Fillmore Street,tertiary,,98.84,,2.0
"(65297095, 65309555, 0)",False,3,Balboa Street,tertiary,,94.417,,2.0
"(4022924674, 4022924673, 0)",False,4,Fulton Street,secondary,35 mph,95.05,,9.0
"(65292764, 65312705, 0)",False,2,Union Street,tertiary,,146.403,True,11.0
"(65358040, 466335817, 0)",True,2,Industrial Street,tertiary,30 mph,116.832,,9.0
"(9602564591, 65295401, 0)",False,,Parker Avenue,residential,,230.784,,1.0
"(65334013, 65299327, 0)",False,"['3', '2']",Stockton Street,tertiary,,107.255,False,29.0
"(65336914, 65307440, 0)",False,2,Fillmore Street,tertiary,20 mph,99.357,,6.0
"(65332833, 65336961, 0)",True,1,Clay Street,tertiary,,145.96200000000002,False,75.0
"(261510664, 261510655, 0)",True,"['4', '2']",Potrero Avenue,secondary,25 mph,141.993,False,11.0
"(65342807, 65300097, 0)",False,"['4', '5']",Mission Street,tertiary,,94.88,,1.0
"(65319526, 65306804, 0)",True,"['3', '5']",4th Street,secondary,40 mph,128.488,False,11.0
"(65307366, 65307368, 0)",True,2,Sacramento Street,tertiary,,46.458,False,28.0
"(65332213, 65296275, 0)",False,,Waller Street,residential,,81.19099999999999,,1.0
"(65312664, 65312662, 0)",False,2,Union Street,tertiary,,146.6,False,26.0
"(65321085, 65323900, 0)",False,,Palou Avenue,tertiary,,112.628,True,23.0
"(258906453, 65295450, 0)",True,3,Park Presidio Boulevard,trunk,35 mph,207.74399999999997,,4.0
"(65295392, 65295399, 0)",False,4,California Street,secondary,,146.398,False,77.0
"(7398767112, 295222775, 0)",True,"['3', '2']",Bayshore Boulevard,primary,35 mph,354.218,,1.0
"(65326443, 65322724, 0)",False,2,Baker Street,residential,25 mph,52.451,,1.0
"(65342765, 65330033, 0)",False,2,Balboa Street,tertiary,,94.369,,1.0
"(65319908, 65318323, 0)",True,3,"['1st Street', 'Bush Street']",secondary,25 mph,122.911,False,83.0
"(65307412, 65307414, 0)",True,2,Sacramento Street,tertiary,,146.351,False,55.0
"(65287366, 65293117, 0)",False,,27th Avenue,residential,,207.861,,2.0
"(4022941212, 65322450, 0)",False,,26th Avenue,residential,,207.883,,1.0
"(65287277, 65287280, 0)",False,4,Fulton Street,secondary,35 mph,146.459,True,19.0
"(65300073, 65300078, 0)",True,"['4', '3']",3rd Street,secondary,,195.108,True,13.0
"(65299327, 65334013, 0)",False,"['3', '2']",Stockton Street,tertiary,,107.255,True,9.0
"(65312672, 65312674, 0)",False,2,Union Street,tertiary,,73.311,,8.0
"(65307474, 65307477, 0)",False,,Sacramento Street,residential,,146.327,,6.0
"(6378899319, 6378899315, 0)",True,,,tertiary_link,,57.177,True,15.0
"(65324854, 65324856, 0)",False,2,18th Street,tertiary,,15.204,,1.0
"(65327285, 65349059, 0)",False,,Noe Street,residential,,90.854,True,20.0
"(65295482, 4022941216, 0)",False,2,California Street,tertiary,25 mph,94.029,True,22.0
"(65287245, 65301525, 0)",False,,Broderick Street,residential,,105.16,,2.0
"(65312680, 65312677, 0)",False,2,Union Street,tertiary,,115.298,False,25.0
"(9691602671, 65307417, 0)",True,2,Sacramento Street,tertiary,,10.65,,3.0
"(65307376, 65307381, 0)",True,2,Sacramento Street,tertiary,,144.93500000000003,False,53.0
"(65352349, 65287232, 0)",False,,Fillmore Street,residential,,104.526,,1.0
"(65296321, 65296324, 0)",False,3,Castro Street,secondary,,84.75200000000001,False,39.0
"(65303574, 65303577, 0)",False,,Sutter Street,residential,,146.33399999999995,,3.0
"(65337445, 65301577, 0)",False,,Jackson Street,residential,,148.464,,1.0
"(65281097, 65281916, 0)",False,4,5th Street,secondary,,191.964,,6.0
"(65375419, 65287319, 0)",False,,8th Avenue,residential,,208.277,,5.0
"(65314156, 6988532585, 0)",True,"['3', '2']",Post Street,tertiary,,146.29199999999997,,3.0
"(65345337, 65334193, 0)",False,4,16th Street,secondary,,96.3,True,12.0
"(65287298, 4021607643, 0)",False,4,Fulton Street,secondary,35 mph,99.198,True,12.0
"(65295493, 65295489, 0)",False,2,California Street,tertiary,25 mph,94.469,True,19.0
"(65354097, 65325408, 0)",False,"['4', '3']",Stanyan Street,secondary,,103.039,True,16.0
"(258965257, 6320119974, 0)",True,"['3', '2']",3rd Street,primary,30 mph,139.49,,1.0
"(65295450, 65295452, 0)",False,2,California Street,tertiary,25 mph,40.8,True,9.0
"(65287319, 65375419, 0)",False,,8th Avenue,residential,,208.277,True,36.0
"(65290217, 65300059, 0)",True,4,3rd Street,secondary,,67.901,True,9.0
"(65337001, 65337003, 0)",False,2,Clay Street,residential,,136.45100000000002,True,20.0
"(65295299, 65352435, 0)",False,,Stockton Street,residential,,107.552,,2.0
"(65325408, 65354097, 0)",False,"['4', '3']",Stanyan Street,secondary,,103.039,False,9.0
"(1472411079, 265666762, 0)",True,"['4', '3']",Potrero Avenue,secondary,25 mph,145.25400000000002,True,13.0
"(65302782, 4022927416, 0)",False,2,6th Avenue,residential,,193.093,False,53.0
"(65295458, 65295455, 0)",False,2,California Street,tertiary,25 mph,99.02,,8.0
"(65317939, 65371286, 0)",True,3,Stockton Street,tertiary,20 mph,97.409,False,13.0
"(65290286, 65328978, 0)",False,4,16th Street,secondary,,87.43,True,16.0
"(65285688, 6913099452, 0)",False,4,Turk Boulevard,tertiary,30 mph,78.801,True,8.0
"(65329405, 65308413, 0)",False,4,Mission Street,tertiary,,108.78499999999998,,6.0
"(65295413, 65295415, 0)",False,4,California Street,secondary,,97.458,True,21.0
"(65304075, 65296340, 0)",False,,23rd Street,residential,,194.929,,1.0
"(65336993, 65307408, 0)",False,2,Hyde Street,tertiary,,99.133,,2.0
"(65295447, 65280072, 0)",False,4,California Street,secondary,,94.284,,15.0
"(65318115, 65291341, 0)",False,,30th Street,residential,,90.504,False,35.0
"(65336583, 65352351, 0)",False,,McAllister Street,residential,,146.451,False,32.0
"(65287298, 65315794, 0)",False,"['4', '3']",Arguello Boulevard,tertiary,,105.526,True,5.0
"(65303533, 65303538, 0)",True,3,Sutter Street,tertiary,,139.091,True,20.0
"(5647545821, 65295436, 0)",False,4,California Street,secondary,,55.874,False,55.0
"(65281944, 1260360822, 0)",True,3,James Lick Freeway,motorway,50 mph,681.798,,2.0
"(65327929, 65327931, 0)",False,2,Haight Street,tertiary,20 mph,43.997,,4.0
"(65324858, 65318612, 0)",False,2,18th Street,tertiary,,104.685,True,4.0
"(3716495457, 65339258, 0)",True,"['4', '3']",Fell Street,primary,30 mph,144.471,,1.0
"(4104677530, 4694790279, 0)",True,,,secondary_link,,50.069,False,39.0
"(65303362, 65333496, 0)",False,,Clifford Terrace,residential,15 mph,148.929,,1.0
"(65307417, 6710688121, 0)",True,2,Sacramento Street,tertiary,,136.439,False,54.0
"(65293105, 65295489, 0)",False,2,California Street,tertiary,25 mph,94.355,False,42.0
"(65338267, 65314212, 0)",False,"['3', '2']",Presidio Avenue,tertiary,,101.576,,2.0
"(65307479, 65295420, 0)",False,"['3', '2']",Arguello Boulevard,tertiary,,105.219,True,11.0
"(4022924675, 65368177, 0)",False,,11th Avenue,residential,,208.15,,1.0
"(65334013, 65332850, 0)",False,4,Broadway,primary,,146.353,,1.0
"(4018939403, 4018939473, 0)",False,3,Castro Street,secondary,,76.025,,8.0
"(173175745, 65348278, 0)",False,,Steiner Street,residential,,99.142,,1.0
"(65293741, 1723738829, 0)",False,5,6th Street,secondary,25 mph,76.266,,14.0
"(65295480, 65295482, 0)",False,2,California Street,tertiary,25 mph,94.443,,11.0
"(4023155492, 65352257, 0)",False,4,Presidio Avenue,tertiary,,37.665,,8.0
