Node,Time_bin,Avg_speed,Avg_speed_CI,Max_speed,Min_speed,Travel_time,Travel_time_CI,Flow,Boxplot_speed,Boxplot_time,Count
65280072,-1,10.0,"(0.92, 19.08)",19.0,0.0,0.05,,"{'(65280072, 65295449, 0)': 1}","{'whislo': 0, 'q1': 2.0, 'med': 11.5, 'q3': 17.25, 'whishi': 19, 'fliers': []}",{'points': [0.05]},6
65280072,1,7.0,"(2.99, 10.41)",23.0,0.0,0.18886666666666665,"(-0.27, 0.64)","{'(65280072, 65295447, 0)': 3}","{'whislo': 0, 'q1': 0.0, 'med': 2.5, 'q3': 13.5, 'whishi': 23, 'fliers': []}","{'points': [0.0833, 0.4, 0.0833]}",20
65280072,0,10.0,"(2.15, 18.6)",22.0,0.0,,,{},"{'whislo': 0, 'q1': 0.0, 'med': 11.5, 'q3': 18.0, 'whishi': 22, 'fliers': []}",{'points': []},8
65280072,2,6.0,"(3.92, 8.29)",22.0,0.0,0.23667,"(0.05, 0.42)","{'(65280072, 65295449, 0)': 5, '(65280072, 65280069, 0)': 1, '(65280072, 65295447, 0)': 3, '(65295447, 65280072, 0)': 1}","{'whislo': 0, 'q1': 0.0, 'med': 4.0, 'q3': 9.0, 'whishi': 22, 'fliers': []}","{'whislo': 0.0333, 'q1': 0.07085, 'med': 0.1667, 'q3': 0.29164999999999996, 'whishi': 0.8833, 'fliers': [0.8833]}",38
65280083,3,10.0,,10.0,10.0,,,{},{'points': [10]},{'points': []},1
65281097,3,14.0,"(9.73, 19.27)",17.0,11.0,,,{},"{'whislo': 11, 'q1': 12.5, 'med': 15.0, 'q3': 17.0, 'whishi': 17, 'fliers': []}",{'points': []},4
65281270,3,12.0,"(8.83, 15.17)",16.0,9.0,,,{},"{'whislo': 9, 'q1': 11.0, 'med': 12.0, 'q3': 12.0, 'whishi': 16, 'fliers': [16, 9]}",{'points': []},5
65281916,-1,,,,,,,{},{'points': []},{'points': []},0
65281916,1,,,,,,,{},{'points': []},{'points': []},0
65281916,0,6.0,"(-44.82, 56.82)",10.0,0.0,1.15,,"{'(65282779, 65281916, 0)': 1}","{'points': [10, 2]}",{'points': [1.15]},2
65281916,2,6.0,"(1.14, 10.11)",14.0,0.0,0.9833333333333333,"(-1.17, 3.14)","{'(65281944, 65281916, 0)': 1, '(65282779, 65281916, 0)': 1, '(65281097, 65281916, 0)': 1}","{'whislo': 0, 'q1': 1.5, 'med': 4.5, 'q3': 9.5, 'whishi': 14, 'fliers': []}","{'points': [1.1333, 1.7667, 0.05]}",8
65282779,-1,13.0,,13.0,13.0,,,{},{'points': [13]},{'points': []},1
65282779,1,0.0,,0.0,0.0,,,{},{'points': [0]},{'points': []},1
65282779,0,6.0,"(-2.21, 14.71)",12.0,0.0,,,{},"{'whislo': 0, 'q1': 3.0, 'med': 6.5, 'q3': 9.75, 'whishi': 12, 'fliers': []}",{'points': []},4
65282779,2,5.0,"(1.86, 8.89)",10.0,0.0,0.6555333333333334,"(-1.28, 2.59)","{'(65351780, 65282779, 0)': 3}","{'whislo': 0, 'q1': 2.25, 'med': 5.5, 'q3': 9.25, 'whishi': 10, 'fliers': []}","{'points': [1.5333, 0.3833, 0.05]}",8
65285688,-1,28.0,"(22.15, 34.85)",29.0,28.0,,,{},"{'points': [28, 29]}",{'points': []},2
65285688,1,16.0,"(-111.06, 143.06)",26.0,0.0,0.4167,,"{'(65285688, 6913099452, 0)': 1}","{'points': [26, 6]}",{'points': [0.4167]},2
65285688,0,27.0,"(14.29, 39.71)",28.0,26.0,,,{},"{'points': [26, 28]}",{'points': []},2
65285688,2,22.0,"(-16.12, 60.12)",25.0,19.0,,,{},"{'points': [25, 19]}",{'points': []},2
65287232,3,0.0,,0.0,0.0,,,{},{'points': [0]},{'points': []},1
65287243,-1,,,,,,,{},{'points': []},{'points': []},0
65287243,1,,,,,,,{},{'points': []},{'points': []},0
65287243,0,18.0,"(8.01, 27.32)",26.0,0.0,0.0833,,"{'(65339271, 65287243, 0)': 1}","{'whislo': 0, 'q1': 17.5, 'med': 20.0, 'q3': 22.5, 'whishi': 26, 'fliers': [0]}",{'points': [0.0833]},6
65287243,2,8.0,"(2.41, 14.09)",21.0,0.0,,,{},"{'whislo': 0, 'q1': 0.0, 'med': 3.0, 'q3': 18.0, 'whishi': 21, 'fliers': []}",{'points': []},12
65287251,-1,,,,,,,{},{'points': []},{'points': []},0
