Node,OSM_street_count,OSM_highway,OSM_edges,Street_count,Count
65325061.0,3.0,stop,"[(65324087, 65325061, 0), (65325061, 65324087, 0), (65334473, 65325061, 0), (65325061, 65334473, 0)]",3,10
65300486.0,4.0,,"[(258964507, 65300486, 0), (65300475, 65300486, 0)]",2,9
65303573.0,4.0,traffic_signals,"[(65303573, 65303574, 0), (258759767, 65303573, 0), (65303574, 65303573, 0), (65314192, 65303573, 0)]",2,8
65300495.0,4.0,traffic_signals,"[(258964508, 65300495, 0), (65343473, 65300495, 0), (65300495, 258964508, 0), (65300495, 65343473, 0), (65300495, 65300507, 0)]",7,41
4022947857.0,3.0,,"[(4022947857, 4022947858, 0), (65287336, 4022947857, 0), (4022947858, 4022947857, 0), (4022947857, 65287336, 0)]",1,31
4022947858.0,3.0,,"[(4022947858, 4022947859, 0), (4022947857, 4022947858, 0), (4022947859, 4022947858, 0), (4022947858, 4022947857, 0)]",2,23
263991315.0,4.0,traffic_signals,"[(6910272793, 263991315, 0), (65308456, 263991315, 0), (263991315, 342573716, 0)]",4,15
4022947860.0,3.0,traffic_signals,"[(4022947859, 4022947860, 0), (4022947860, 65341630, 0), (65287347, 4022947860, 0), (4022947860, 65287347, 0), (4022947860, 4022947859, 0)]",3,35
4022947859.0,3.0,,"[(4022947859, 4022947860, 0), (4022947858, 4022947859, 0), (4022947859, 4022947858, 0), (4022947859, 65329618, 0), (4022947860, 4022947859, 0)]",2,20
8166971415.0,3.0,,"[(258467531, 8166971415, 0), (8166971415, 65308456, 0)]",2,8
65349661.0,4.0,,"[(65349661, 65287711, 0), (65287711, 65349661, 0), (65349661, 65287674, 0), (65287674, 65349661, 0)]",1,21
65303577.0,4.0,,"[(65303574, 65303577, 0), (65303577, 65303578, 0), (65303578, 65303577, 0), (65303577, 65303574, 0)]",2,3
65349662.0,4.0,,"[(65349662, 65314570, 0), (65314570, 65349662, 0), (65349662, 65297727, 0)]",1,2
65349666.0,4.0,,"[(65349666, 65297727, 0), (65349668, 65349666, 0), (65349666, 65349668, 0)]",1,1
65308708.0,4.0,traffic_signals,"[(65290949, 65308708, 0), (65308708, 65293538, 0)]",2,9
65349668.0,4.0,,"[(65280083, 65349668, 0), (65349668, 65349666, 0), (65349668, 65280083, 0), (65349666, 65349668, 0)]",1,2
65349672.0,4.0,,"[(65349672, 65349674, 0), (65349672, 65330054, 0), (65349674, 65349672, 0), (65349672, 65365036, 0)]",1,4
65327144.0,4.0,traffic_signals,"[(65352337, 65327144, 0), (65327144, 65352339, 0), (65327144, 65352337, 0), (65352339, 65327144, 0)]",7,101
65349674.0,4.0,,"[(65349674, 65319886, 0), (65349672, 65349674, 0), (65349674, 65349672, 0)]",1,3
65294381.0,4.0,traffic_signals,"[(295218056, 65294381, 0), (65294381, 65348379, 0), (65348379, 65294381, 0), (65294381, 295218056, 0)]",3,49
65290286.0,4.0,traffic_signals,"[(65290286, 65328978, 0), (65290286, 65290291, 0), (65290286, 65308767, 0), (65308767, 65290286, 0), (65328978, 65290286, 0)]",2,27
65349679.0,4.0,,"[(65342701, 65349679, 0)]",1,1
65308721.0,4.0,traffic_signals,"[(65308721, 65358921, 0), (65308721, 65302139, 0), (65293538, 65308721, 0)]",2,9
5853161522.0,3.0,,"[(6952632751, 5853161522, 0), (5853161522, 5853161525, 0)]",2,5
4019294259.0,5.0,traffic_signals,"[(259139108, 4019294259, 0), (65295375, 4019294259, 0), (65295369, 4019294259, 0), (4019294259, 4019294261, 0), (4019294259, 259139109, 0), (4019294261, 4019294259, 0), (4019294259, 65295369, 0), (4019294259, 65295375, 0)]",9,176
5853161525.0,3.0,,"[(5853161522, 5853161525, 0), (5853161527, 5853161525, 0)]",3,29
4019294261.0,4.0,traffic_signals,"[(4019294261, 65336921, 0), (4019294259, 4019294261, 0), (65336921, 4019294261, 0), (4019294261, 4019294259, 0), (4019294261, 65301556, 0)]",5,43
5853161527.0,3.0,,"[(5853161527, 5826707779, 0), (5826707783, 5853161527, 0), (5853161527, 5853161525, 0)]",4,47
4022927416.0,3.0,traffic_signals,"[(65302782, 4022927416, 0), (4022927416, 4022924680, 0), (4022927416, 65302782, 0), (4022924671, 4022927416, 0), (4022924680, 4022927416, 0), (4022927416, 4022924671, 0)]",5,129
